ID,Street Name,Street Qualifier,Begin Measure,End Measure,School,Speed Limit,Effective Days,Effective Time,Legislation Link,Location
139,Scotland Ave,A,802.78565,1029.08976,Winnipeg South Academy,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.154638589933 49.863519243924, -97.154818389391 49.863459148247, -97.154942628707 49.863417621839, -97.155066968932 49.863376062247, -97.156934131947 49.862751955118, -97.15707973694 49.86270331074, -97.157435023662 49.862584613749)"
153,Simcoe St,A,1355.42974,1591.97498,Wellington School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.166077126214 49.89834878392, -97.166038093739 49.898876394276, -97.165942009456 49.900175138493, -97.165919986937 49.900473445063)"
232,Hampton St,A,915.12884,1196.96681,Stevenson School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.212100650983 49.887037842621, -97.21204532192 49.887641204829, -97.212039655977 49.887703786023, -97.212032046204 49.887787836821, -97.212025485663 49.887860298487, -97.211888777492 49.889361302066, -97.211869964103 49.889567857523)"
108,Charles St,A,950.16255,1149.04509,Machray School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.131811503964 49.918857809497, -97.13168677186 49.919019167296, -97.131614525689 49.919112599434, -97.131544518996 49.91920313498, -97.13098332289 49.919928527664, -97.130893045305 49.920045312304, -97.130803026329 49.920161761754, -97.130573824156 49.92045772948)"
109,Alexander Ave,A,1174.9019,1379.53448,Dufferin School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.147785324308 49.90522411638, -97.150023723488 49.905941832276, -97.150337269847 49.90604236204)"
141,Kingsway,A,1925.51208,2155.39564,Queenston School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.185679133665 49.870375112161, -97.186050404932 49.870387981621, -97.186548573798 49.870406015187, -97.186688542101 49.870411036185, -97.187326617798 49.870434337974, -97.187964282542 49.870457621226, -97.18859024446 49.870480687088, -97.188872484827 49.87049123299)"
162,Winona St,A,890.38933,1132.70501,Radisson School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.007997337483 49.901378535565, -97.007995579468 49.901474273613, -97.007993919253 49.901564685073, -97.007992258267 49.901655137884, -97.007986823223 49.901951111507, -97.007981383993 49.90224730655, -97.007979728283 49.902337467447, -97.007978062627 49.902428169368, -97.007972632454 49.902723860708, -97.007967238568 49.903017569657, -97.007965536561 49.903110246326, -97.007963870809 49.903200948284, -97.00795844029 49.903496641434, -97.007957326778 49.903557271591)"
223,Pebble Beach Rd,A,638.21205,914.01841,Niakwa Place School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.081733207963 49.850245116265, -97.08173042755 49.850239687879, -97.081570562579 49.849927569369, -97.08153291273 49.849851419647, -97.081493138483 49.8497709729, -97.08090302233 49.848618797607, -97.080745443238 49.848117837919, -97.080719240111 49.84803432983, -97.080666641369 49.847866698562)"
24,Meadowlark Pl,A,26.38949,156.48802,Bruce Middle School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.276023408524 49.883843213897, -97.276000900309 49.884089648441, -97.275963503399 49.884499087709, -97.275916736958 49.88501109793)"
274,Poplar Ave,A,49.46295,362.23317,Lord Selkirk School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.114733960428 49.913527085354, -97.114586172912 49.913478072443, -97.111971241495 49.912610797627, -97.110859737394 49.912242126224)"
330,Rosseau Ave W,A,610.38687,1005.96764,Westview School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.011039839958 49.89832612251, -97.011444139473 49.898328626052, -97.012065616306 49.898332471671, -97.012716801369 49.898336497546, -97.015601120422 49.898354285515, -97.01620741466 49.898358015481, -97.016546306729 49.898360098987)"
118,Killarney St,A,123.67642,337.58574,Windsor School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.118934476224 49.855361534535, -97.118880001533 49.855293542443, -97.118663620195 49.855022466275, -97.118619710729 49.854967620617, -97.118566211154 49.854900796128, -97.118347923383 49.85462799818, -97.118112136102 49.854333326943, -97.11805809697 49.85425981592, -97.11799144614 49.854169148498, -97.117792474531 49.853932193777, -97.117783304736 49.853922170855, -97.117773020494 49.853912610725, -97.117761677424 49.853903565088, -97.117749336867 49.853895082862, -97.117736065561 49.853887209916, -97.117719244061 49.853878741076, -97.117701348377 49.853871248939, -97.117682513787 49.85386479014, -97.117662882666 49.853859413503, -97.117642603409 49.85385515967, -97.117621829311 49.853852060798, -97.117600717407 49.85385014031, -97.117579427287 49.853849412725, -97.117558119887 49.853849883543, -97.117536956273 49.853851549203, -97.117489719952 49.85385525749, -97.117442160389 49.853856228271, -97.117394656347 49.853854453816, -97.117354523573 49.853850612309)"
199,Autumnwood Dr,A,450.38369,712.45739,Frontenac School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.083607478812 49.867259779753, -97.083466200131 49.867271930729, -97.083268368329 49.867277740655, -97.08316231868 49.867277878036, -97.082607398613 49.867278595318, -97.080535555935 49.867281249873, -97.079962994002 49.867281976937)"
220,Manitoba Ave,A,4710.01157,4983.48532,Shaughnessy Park School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.189857229058 49.931455855461, -97.190617502473 49.931699007064, -97.190741138699 49.93173854696, -97.190864785057 49.931778089902, -97.192995413613 49.932459448623, -97.193119059163 49.932498987743, -97.193242729893 49.932538534719, -97.193270969833 49.932547565156)"
256,Beaumont St,A,414.96485,715.97833,General Byng School,30,Mon-Fri June-Sept,07:00-17:30,http://clkapps.winnipeg.ca/dmis/docext/viewdoc.asp?documenttypeid=1&docid=6274,"LINESTRING (-97.161265967964 49.844752203737, -97.161125992163 49.844579772046, -97.16106526354 49.844505026326, -97.161004538238 49.844430284436, -97.160798127719 49.844175550276, -97.160561330729 49.843883312044, -97.160030236301 49.843227858206, -97.159501235356 49.842574968313, -97.159322803623 49.842354744461)"
